Plate	Well	Well Number	Characteristics [Organism]	Term Source 1 REF	Term Source 1 Accession	Characteristics [Cell Line or Strain]	Term Source 2 REF	Term Source 2 Accession	Protein	Abbreviation	Protein sequence (aa)	UniProt	Addgene ID	Subcellular	Gene Symbol	Analysis Gene Annotation Build	Gene Annotation Comments	Control Type	Control Comments	Quality Control	Quality Control Comments	Channels	Comments
# the name of the plate (should be the same as the name of the directory containing the image files)	"# the well location e.g. A1, A2, A3, etc"	# if preferred well numbers 1 to 96 or 1 to 384 can be used instead of well locations	Homo sapiens	NCBITaxon	# leave blank	MCF10A	EFO	# leave blank							# the symbol for the gene	"# the genome assembly and gene annotation build that the reagents were mapped to for this analysis E.g. GRCh37, Ensembl release 61, Feb 2011"	# any comments about the annotation e.g.  'siRNA did not map to any transcripts'	"# if the well is a control then choose from: positive control, negative control, empty well.  If it is not a control then leave blank."	"# any additional information about the control can be entered here e.g. 'checks for transfection', 'gives strong phenotype'"	# enter any quality control information here.  This can be 'pass/fail' or other information such as 'no cells'	# if you used 'pass/fail' in the Quality Control column and want to give more information then enter it here	"# the fluorophores and what they are labeling, e.g. Alexa 488:tubulin;Hoechst:DNA;Tritc:actin"	# enter any other general information here
WS_MCF10A_landmarks_20180613__Meas_01	N1		Homo sapiens			MCF10A			"Signal sequence of calreticulin, ER retention sequence (KDEL)"	Calr-KDEL	N/A	P27797	134664	endoplasmic reticulum								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	N2		Homo sapiens			MCF10A			"Signal sequence of calreticulin, ER retention sequence (KDEL)"	Calr-KDEL	N/A	P27797	134664	endoplasmic reticulum								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	N3		Homo sapiens			MCF10A			"Signal sequence of calreticulin, ER retention sequence (KDEL)"	Calr-KDEL	N/A	P27797	134664	endoplasmic reticulum								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	N4		Homo sapiens			MCF10A			"Signal sequence of calreticulin, ER retention sequence (KDEL)"	Calr-KDEL	N/A	P27797	134664	endoplasmic reticulum								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	N5		Homo sapiens			MCF10A			"Signal sequence of calreticulin, ER retention sequence (KDEL)"	Calr-KDEL	N/A	P27797	134664	endoplasmic reticulum								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	N6		Homo sapiens			MCF10A			"Signal sequence of calreticulin, ER retention sequence (KDEL)"	Calr-KDEL	N/A	P27797	134664	endoplasmic reticulum								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	N7		Homo sapiens			MCF10A			"Signal sequence of calreticulin, ER retention sequence (KDEL)"	Calr-KDEL	N/A	P27797	134664	endoplasmic reticulum								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	N8		Homo sapiens			MCF10A			"Signal sequence of calreticulin, ER retention sequence (KDEL)"	Calr-KDEL	N/A	P27797	134664	endoplasmic reticulum								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	N9		Homo sapiens			MCF10A			"Signal sequence of calreticulin, ER retention sequence (KDEL)"	Calr-KDEL	N/A	P27797	134664	endoplasmic reticulum								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	N10		Homo sapiens			MCF10A			"Signal sequence of calreticulin, ER retention sequence (KDEL)"	Calr-KDEL	N/A	P27797	134664	endoplasmic reticulum								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	N11		Homo sapiens			MCF10A			"Signal sequence of calreticulin, ER retention sequence (KDEL)"	Calr-KDEL	N/A	P27797	134664	endoplasmic reticulum								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	N12		Homo sapiens			MCF10A			"Signal sequence of calreticulin, ER retention sequence (KDEL)"	Calr-KDEL	N/A	P27797	134664	endoplasmic reticulum								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	K1		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
WS_MCF10A_landmarks_20180613__Meas_01	K2		Homo sapiens			MCF10A			Cytochrome c oxidase subunit VIII	CCO	1-29	Q53XN1	134861	inner mitochondria membrane								"EGFP (protein of interest), DRAQ5 (DNA)"	
