Plate,Well,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Cell Line],Term Source 2 REF,Term Source 2 Accession,Comment [Gene Identifier],Comment [Gene Symbol],Comment [Protein Name],Comment [Protein Name Abbreviation],Protein Sequence (aa),UniProt ID,Addgene ID,Experimental Condition [Subcellular Localization],Channels
20130208_TA_VAMP1_DEG/Meas_01,A3,Mus musculus,NCBITaxon,NCBITaxon_10090,NMuMG,CLO,CLO_0008186,9950,GOLGA5,Golgin84,Golgin84,674-731,Q8TBA6,133028,Golgi apparatus,"EGFP (protein of interest), DRAQ5 (DNA)"
20130208_TA_VAMP1_DEG/Meas_01,B3,Mus musculus,NCBITaxon,NCBITaxon_10090,NMuMG,CLO,CLO_0008186,9950,GOLGA5,Golgin84,Golgin84,674-731,Q8TBA6,133028,Golgi apparatus,"EGFP (protein of interest), DRAQ5 (DNA)"
20130208_TA_VAMP1_DEG/Meas_01,C3,Mus musculus,NCBITaxon,NCBITaxon_10090,NMuMG,CLO,CLO_0008186,9950,GOLGA5,Golgin84,Golgin84,674-731,Q8TBA6,133028,Golgi apparatus,"EGFP (protein of interest), DRAQ5 (DNA)"
20130208_TA_VAMP1_DEG/Meas_01,D3,Mus musculus,NCBITaxon,NCBITaxon_10090,NMuMG,CLO,CLO_0008186,9950,GOLGA5,Golgin84,Golgin84,674-731,Q8TBA6,133028,Golgi apparatus,"EGFP (protein of interest), DRAQ5 (DNA)"
20130208_TA_VAMP1_DEG/Meas_01,E3,Mus musculus,NCBITaxon,NCBITaxon_10090,NMuMG,CLO,CLO_0008186,9950,GOLGA5,Golgin84,Golgin84,674-731,Q8TBA6,133028,Golgi apparatus,"EGFP (protein of interest), DRAQ5 (DNA)"
20130208_TA_VAMP1_DEG/Meas_01,F3,Mus musculus,NCBITaxon,NCBITaxon_10090,NMuMG,CLO,CLO_0008186,9950,GOLGA5,Golgin84,Golgin84,674-731,Q8TBA6,133028,Golgi apparatus,"EGFP (protein of interest), DRAQ5 (DNA)"
20130208_TA_VAMP1_DEG/Meas_01,G3,Mus musculus,NCBITaxon,NCBITaxon_10090,NMuMG,CLO,CLO_0008186,9950,GOLGA5,Golgin84,Golgin84,674-731,Q8TBA6,133028,Golgi apparatus,"EGFP (protein of interest), DRAQ5 (DNA)"
20130208_TA_VAMP1_DEG/Meas_01,H3,Mus musculus,NCBITaxon,NCBITaxon_10090,NMuMG,CLO,CLO_0008186,9950,GOLGA5,Golgin84,Golgin84,674-731,Q8TBA6,133028,Golgi apparatus,"EGFP (protein of interest), DRAQ5 (DNA)"
20130208_TA_VAMP1_DEG/Meas_01,I3,Mus musculus,NCBITaxon,NCBITaxon_10090,NMuMG,CLO,CLO_0008186,9950,GOLGA5,Golgin84,Golgin84,674-731,Q8TBA6,133028,Golgi apparatus,"EGFP (protein of interest), DRAQ5 (DNA)"
20130208_TA_VAMP1_DEG/Meas_01,J3,Mus musculus,NCBITaxon,NCBITaxon_10090,NMuMG,CLO,CLO_0008186,9950,GOLGA5,Golgin84,Golgin84,674-731,Q8TBA6,133028,Golgi apparatus,"EGFP (protein of interest), DRAQ5 (DNA)"
20130208_TA_VAMP1_DEG/Meas_01,K3,Mus musculus,NCBITaxon,NCBITaxon_10090,NMuMG,CLO,CLO_0008186,9950,GOLGA5,Golgin84,Golgin84,674-731,Q8TBA6,133028,Golgi apparatus,"EGFP (protein of interest), DRAQ5 (DNA)"
20130208_TA_VAMP1_DEG/Meas_01,L3,Mus musculus,NCBITaxon,NCBITaxon_10090,NMuMG,CLO,CLO_0008186,9950,GOLGA5,Golgin84,Golgin84,674-731,Q8TBA6,133028,Golgi apparatus,"EGFP (protein of interest), DRAQ5 (DNA)"
20130208_TA_VAMP1_DEG/Meas_01,M3,Mus musculus,NCBITaxon,NCBITaxon_10090,NMuMG,CLO,CLO_0008186,9950,GOLGA5,Golgin84,Golgin84,674-731,Q8TBA6,133028,Golgi apparatus,"EGFP (protein of interest), DRAQ5 (DNA)"
20130208_TA_VAMP1_DEG/Meas_01,N3,Mus musculus,NCBITaxon,NCBITaxon_10090,NMuMG,CLO,CLO_0008186,9950,GOLGA5,Golgin84,Golgin84,674-731,Q8TBA6,133028,Golgi apparatus,"EGFP (protein of interest), DRAQ5 (DNA)"
20130208_TA_VAMP1_DEG/Meas_01,O3,Mus musculus,NCBITaxon,NCBITaxon_10090,NMuMG,CLO,CLO_0008186,9950,GOLGA5,Golgin84,Golgin84,674-731,Q8TBA6,133028,Golgi apparatus,"EGFP (protein of interest), DRAQ5 (DNA)"
20130208_TA_VAMP1_DEG/Meas_01,P3,Mus musculus,NCBITaxon,NCBITaxon_10090,NMuMG,CLO,CLO_0008186,9950,GOLGA5,Golgin84,Golgin84,674-731,Q8TBA6,133028,Golgi apparatus,"EGFP (protein of interest), DRAQ5 (DNA)"
20130916_Landmark_PSS1/Meas_01,A18,Mus musculus,NCBITaxon,NCBITaxon_10090,NMuMG,CLO,CLO_0008186,9791,PTDSS1,Phosphatidylserine synthase-1,PTDSS1,1-473,Q99LH2,134667,"mitochondria-associated ER-membrane, endoplasmic reticulum","EGFP (protein of interest), DRAQ5 (DNA)"
20130916_Landmark_PSS1/Meas_01,A19,Mus musculus,NCBITaxon,NCBITaxon_10090,NMuMG,CLO,CLO_0008186,9791,PTDSS1,Phosphatidylserine synthase-1,PTDSS1,1-473,Q99LH2,134667,"mitochondria-associated ER-membrane, endoplasmic reticulum","EGFP (protein of interest), DRAQ5 (DNA)"
20130916_Landmark_PSS1/Meas_01,A20,Mus musculus,NCBITaxon,NCBITaxon_10090,NMuMG,CLO,CLO_0008186,9791,PTDSS1,Phosphatidylserine synthase-1,PTDSS1,1-473,Q99LH2,134667,"mitochondria-associated ER-membrane, endoplasmic reticulum","EGFP (protein of interest), DRAQ5 (DNA)"
20130916_Landmark_PSS1/Meas_01,A21,Mus musculus,NCBITaxon,NCBITaxon_10090,NMuMG,CLO,CLO_0008186,9791,PTDSS1,Phosphatidylserine synthase-1,PTDSS1,1-473,Q99LH2,134667,"mitochondria-associated ER-membrane, endoplasmic reticulum","EGFP (protein of interest), DRAQ5 (DNA)"
